dane,tema_matematica,tema_lenguaje,prmat_alto_07_p,prlen_alto_07_p,tema_lenguaje_d,tema_matematica_d,prmat_alto_10_p,prlen_alto_10_p,Progresolen11,Progresomat11,aprobación5,aprobación9,rtextra,Progresolen5,Progresolen9,Progresomat5,Progresomat9,avanzado_m9,avanzado_m5,avanzado_l9,avanzado_l5
105001001279,40.82,45.01,0,.5714285,43.93,42.33,0,0,42.5327,50.05107,.9789916,.6159539,.6942675,47.74434,31.35982,43.40525,48.90352,0,9,0,11
105001001317,50.54,53.22,2.702703,0,50.31,47.7,3.448276,0,49.94413,49.9581,.9333333,.9480519,.9655172,,,,,,,,
105001001368,40.82,48.165,0,0,44.05,40.93,0,0,23.13208,50.04032,.9411765,.8679245,.7941176,49.42215,,49.77957,,0,0,0,6
105001001473,44.48,47.14,0,0,46.27,42.33,1.351351,0,60.89011,50.85007,.9079754,.8609272,.8513514,58.90958,56.62478,55.53006,36.43365,0,7,0,10
105001001490,44.48,49.19,0,0,48.28,45.16,0,.7272727,63.96815,55.95052,.9647887,.9078212,.9709091,,47.77368,,61.97648,1,14,3,17
105001001562,44.48,49.19,0,.3717472,50.31,47.59,.3125,.3125,83.17436,56.63058,1,.974359,.953125,,68.44311,,66.76646,1,9,4,9
105001001635,46.075,49.19,.7692308,0,48.37,47.59,2.531646,0,77.9363,68.51821,.9603174,.8710043,.9810126,,78.22883,,53.5286,5,22,4,16
105001001651,44.48,47.14,0,0,46.16,46.375,0,0,37.6129,56.54557,.9210526,.9761904,.9390244,54.05738,58.29776,56.78852,41.95435,4,9,2,7
105001001660,44.48,47.14,0,0,46.16,39.53,0,0,37.6129,31.33151,.8938053,.75,.8630137,23.32435,31.93456,28.58911,50.41981,0,3,0,4
105001001686,44.48,45.01,0,0,41.64,45.01,0,0,37.5545,54.67541,.8846154,.7741935,.875,32.50911,64.11205,55.27041,73.18408,0,10,0,0
105001001791,44.48,51.21,0,0,46.16,47.59,1.960784,0,46.71415,56.63058,.9218384,.7058824,.9607843,66.33516,55.48241,65.2066,34.06517,0,18,0,13
105001001805,42.65,45.01,0,0,44.05,42.33,0,0,50.07902,50.72992,.9517544,.8442623,.8915663,51.29347,30.25806,53.28463,25.03226,0,2,0,3
105001001848,47.67,49.19,1.694915,0,46.27,45.16,4.225352,0,42.87234,49.75956,.8305085,.8617021,.9859155,65.41885,77.29032,63.59212,80.19355,8,15,5,18
105001001881,,,,,,,,,,,.9772991,.9120879,,,,,,,,,
105001002003,44.48,51.21,0,0,46.27,45.16,0,0,48.05836,55.95052,1,.8139535,.9411765,35.47986,,29.07572,,0,6,4,7
105001002011,47.67,49.19,.5524862,0,46.16,42.42,.4149378,0,33.25,40.14207,.9468085,.8908451,.7593361,39.98083,66.45726,37.17724,42.53301,0,8,2,3
105001002020,44.48,45.01,0,0,,,,,,,.9878049,.8506494,,67.92999,73.56983,46.90322,67.02265,1,14,4,19
105001002038,47.67,47.14,0,0,46.215,50.42,0,0,59.07509,83.31451,.942623,.9166667,.9047619,52.00727,73.95112,52.35373,69.87434,0,13,10,8
105001002071,44.48,45.01,0,0,41.64,36.5,0,0,37.5545,28.99795,.9139785,.7361111,.2222222,,47.23387,,41.70161,2,0,2,2
105001002101,47.67,49.19,0,0,46.215,42.42,1.351351,0,41.80319,40.14207,.9207317,.8411215,1,49.35746,,46.31241,,2,11,0,6
105001002119,44.48,47.14,0,0,46.16,42.33,.9661835,0,37.6129,50.85007,.8865079,.7727273,.7342995,73.9945,42.5039,63.89894,46.25195,1,12,1,23
105001002135,44.48,51.21,0,0,46.27,42.42,0,1.694915,48.05836,52.55022,.9254339,.9462366,.7966102,44.12097,29.70376,50,40.83395,0,2,0,2
105001002305,44.48,45.01,0,0,46.16,42.33,0,0,50.86917,50.85007,.9777778,.8717949,.8533334,55.23774,,41.68816,,0,2,0,5
105001002348,44.48,49.19,1.526718,0,46.27,42.33,.6535948,0,42.87234,50.85007,.8285714,.9431818,.8823529,51.29443,24.01049,50.64721,40.31763,0,4,0,6
105001002356,44.48,47.14,0,0,46.16,42.42,0,0,37.6129,52.55022,.9869546,.9108911,.8688525,51.68306,,42.62878,,0,3,0,5
105001002461,44.48,45.01,0,0,46.27,47.7,3.125,1.041667,51.93589,57.22564,1,.7889909,.8854167,,68.14516,,57.72849,2,15,6,19
105001002470,44.48,45.01,0,0,46.27,42.42,.4291846,0,51.93589,52.55022,.9720732,.9013926,.9527897,,53.7783,,59.65566,0,5,1,5
105001002488,44.48,45.01,0,0,44.05,45.01,0,0,50.07902,54.67541,.9888889,.8214286,.875,17.54095,50.33524,17.69079,50,2,4,0,5
105001002496,47.67,47.14,4.081633,0,46.27,47.59,2.352941,1.176471,60.89011,63.71774,1,.8888889,.8823529,,58.70968,,55.22581,0,10,0,5
105001002526,44.48,47.14,0,0,44.05,42.33,.5102041,0,10.08602,50.85007,.9748808,.9634146,.7653061,38.25855,39.64458,50.48661,33.27202,0,6,0,6
105001002780,44.48,45.01,0,0,45.105,39.53,0,0,50.71114,31.33151,.9756098,.7230769,.9047619,50.30413,50.15365,50.11174,50.09778,0,2,0,4
105001002798,44.48,50.2,0,0,50.4,50.28,6.521739,0,59.64365,57.39565,.8913044,.9318182,.9347826,49.06299,,48.79781,,0,21,7,24
105001002895,47.67,49.19,0,.6289308,48.37,47.59,2.597403,0,77.9363,63.71774,.9498046,.6923077,.9350649,63.70694,65.13979,56.37256,54.12903,3,7,2,19
105001002976,46.075,47.14,0,0,44.05,42.33,0,0,10.08602,32.80204,.8876405,.8255814,.9756098,52.04018,53.89634,55.05701,53.33972,0,8,0,6
105001003123,47.67,47.14,0,0,48.28,45.085,1.428571,0,77.83028,49.03825,.9705882,.8356164,.9,65.98809,65.32447,46.96807,54.2766,0,13,3,16
105001003131,44.48,45.01,0,0,46.27,42.42,0,0,51.93589,52.55022,.8034188,.9,.8235294,51.95968,61.04787,50.75368,65.32447,0,2,0,4
105001003221,44.48,45.01,0,0,44.05,42.42,0,0,50.07902,52.55022,.9444444,.9710145,.9166667,53.44086,23.23417,50.83962,16.19053,2,4,2,7
105001003271,40.82,45.01,0,0,48.325,45.085,1.923077,0,53.35817,50.2043,.9538462,.7464789,.8076923,,66.14199,,68.92509,0,8,2,13
105001003280,44.48,47.14,0,.5025126,44.05,39.53,0,0,10.08602,31.33151,.9895833,.8333333,.7304965,,58.29839,,67.51881,0,11,0,11
105001003298,44.48,49.19,0,0,46.16,42.33,0,0,33.25,50.85007,.9892473,.953917,.9815951,,54.72308,,46.28816,1,6,5,18
105001003387,44.48,45.01,0,0,44.05,42.33,0,0,50.07902,50.85007,.9063492,.811828,.8896552,,46.52951,,28.02024,0,7,1,3
105001003425,44.48,49.19,0,0,46.27,45.01,1.485149,0,42.87234,54.67541,.9243243,.8092105,.8762376,,49.39891,,48.94809,0,12,1,11
105001003441,47.67,49.19,1.351351,0,50.4,55.62,5.617978,0,88.41241,87.23387,,.8095238,.988764,,,,,8,,5,
105001003450,47.67,49.19,0,0,48.28,42.42,0,1.219512,63.96815,40.14207,.9929578,.9038461,.9634146,47.17368,,42.88361,,0,11,7,11
105001004472,50.54,49.19,0,0,49.34,45.085,0,0,81.42834,49.70667,.9058824,.974026,1,69.23499,,75.9305,,2,26,14,45
105001004791,47.67,53.22,0,0,52.29,52.66,5.376344,1.075269,52.60793,85.27419,.8366013,.9159664,.967742,62.4173,49.91499,50,48.97991,3,33,11,35
105001005291,44.48,45.01,0,0,46.27,42.42,0,0,51.93589,52.55022,.7608696,.6944444,.9264706,55.79602,53.10432,38.91196,28.84151,0,7,0,11
105001005339,44.48,47.14,0,0,46.16,42.33,1.030928,0,37.6129,50.85007,.9710624,.9060403,.814433,37.55437,36.30693,50,49.55829,0,4,0,6
105001005347,44.48,47.14,0,.7575758,46.27,42.42,0,.8547009,60.89011,52.55022,.9196913,.8124574,.9316239,,38.50489,,42.13492,0,13,2,10
105001005380,,,,,,,,,,,.7568396,,,,,,,,,,
105001005410,46.075,47.14,0,0,47.275,45.085,1.282051,0,76.62026,49.70348,.974359,.7948718,.9615384,36.77634,38.29285,37.00743,25.12232,0,9,0,4
105001005495,44.48,47.14,0,0,43.93,42.42,0,0,3.204301,52.55022,.8823529,.8407643,.9772727,56.22332,67.89247,58.84077,62.3871,0,12,4,11
105001005525,44.48,42.76,0,0,44.05,39.53,0,0,50.01882,31.33151,.9107143,.8767123,.9210526,50.16762,51.02644,50.42076,53.48991,0,0,0,0
105001005878,44.48,42.76,0,0,46.16,42.33,.6329114,0,50.07258,50.85007,.8,.6167665,.6962025,51.50856,38.6651,51.87402,32.36793,0,3,1,3
105001006068,46.075,45.01,0,0,46.16,42.42,0,0,50.86917,38.73238,.95,.7631579,.9620253,80.3947,,52.51603,,2,7,6,34
105001006092,44.48,49.19,2.409638,0,48.28,45.01,0,0,63.96815,54.67541,.9021739,.9666666,.9866667,64.52014,71.90986,56.58527,42.11436,0,8,4,11
105001006181,44.48,47.14,1.149425,0,46.27,45.01,1.428571,0,60.89011,54.67541,.96875,.9090909,.9428571,52.46522,52.51879,50.93169,68.89095,0,5,0,3
105001006246,44.48,47.14,0,0,48.28,42.42,1.694915,0,77.83028,52.55022,.9529412,.7678571,.8474576,37.22581,20.75743,34.86021,26.19791,0,2,0,7
105001006483,47.67,47.14,0,0,46.16,40.975,0,0,37.6129,35.09288,.9705882,.9189189,.9230769,52.55471,50.19769,55.79602,50.02281,0,4,0,4
105001006718,42.65,45.01,0,0,46.27,42.42,1.075269,0,51.93589,51.94645,.8579203,.9358974,.9247312,,40.83944,,45.61886,0,5,1,10
105001006980,47.67,49.19,1.749271,.2915452,48.28,45.01,2.167183,0,63.96815,46.153,.969697,.5591398,.8359133,,63.26819,,42.53889,2,8,3,9
105001007111,44.48,47.14,0,0,44.05,40.93,0,0,10.08602,50.51004,.9101124,.8589743,.8478261,,,,,0,6,0,2
105001007188,44.48,47.14,0,0,46.16,45.16,0,0,37.6129,55.95052,.9350649,.8607595,.8976378,46.31183,54.08036,34.80265,53.57031,1,5,0,7
105001007218,47.67,47.14,0,0,46.16,42.42,1.052632,0,37.6129,40.14207,.8409091,.9019608,.8210526,50.13686,56.12054,50.54744,58.84077,1,0,1,4
105001007421,44.48,47.14,0,0,48.28,47.59,0,0,77.83028,56.63058,.9873418,,.9473684,60.93706,77.03649,64.44892,34.58195,0,20,2,11
105001007439,44.48,47.14,0,0,44.05,42.42,0,0,10.08602,52.55022,1,.8941177,.9454545,47.67742,53.80201,60.18278,52.53467,0,3,0,8
105001007889,44.48,43.885,0,0,48.28,47.59,0,0,52.34426,56.63058,.9375,.9245283,.8888889,41.47227,41.66218,51.13142,68.99849,2,6,0,2
105001007978,44.48,45.01,0,0,46.27,42.33,0,0,51.93589,50.85007,.6854839,.7884616,.8157895,51.09528,51.45984,51.16129,50.66909,0,3,0,1
105001008249,44.48,47.14,0,0,43.93,42.33,0,0,3.204301,50.85007,.9438202,.9080459,.9459459,57.05645,,31.51106,,0,2,2,4
105001008389,44.48,46.075,0,0,46.27,43.715,0,0,61.03226,54.50539,.9451219,.9457364,.902439,50.65472,,35.8776,,0,6,0,8
105001008451,44.48,45.01,0,0,46.27,45.01,0,0,51.93589,54.67541,.9235669,.8976378,.875,50.70572,,27.17856,,0,2,2,8
105001008486,44.48,49.19,0,0,46.27,39.53,1.818182,0,42.87234,31.33151,.6271186,.78125,.8727273,57.22581,,56.95339,,0,6,2,12
105001009652,40.82,45.01,0,0,46.215,42.33,0,0,51.81736,50.05107,.9873418,.9811321,.8970588,,19.40146,,30.38555,0,4,0,9
105001009695,44.48,49.19,0,0,48.28,45.01,0,0,63.96815,54.67541,.9010989,.9382716,1,49.75956,,49.16038,,0,20,0,34
105001009709,44.48,47.14,0,0,43.93,42.42,0,0,3.204301,52.55022,.9661745,.8504673,.8648649,,50.54099,,50.60109,2,6,0,16
105001009865,47.67,48.165,0,0,46.27,42.42,0,0,42.86321,40.14207,.9465649,.8510638,.8653846,,58.18608,,67.63155,0,8,2,16
105001010111,,,,,44.05,39.53,0,0,,,.8956522,.7837838,.8529412,42.27151,,48.03585,,0,16,0,5
105001010367,44.48,49.19,0,0,46.27,45.01,0,0,42.87234,54.67541,1,1,.9206349,,66.98792,,100.9638,2,18,7,25
105001010448,44.48,45.01,0,0,46.16,42.42,0,0,50.86917,52.55022,.9477064,.9395604,.9055118,,39.94012,,53.58457,0,4,0,7
105001010588,44.48,47.14,0,0,46.16,42.375,1.587302,0,37.6129,52.46522,.9424453,.980695,.8333333,,,,,0,4,0,6
105001010855,47.67,51.21,0,0,46.16,42.42,0,0,46.71415,40.14207,.9597701,.7444444,.8888889,54.28402,,56.98473,,,9,,6
105001011011,44.48,47.14,0,0,46.215,39.53,0,0,59.07509,31.33151,.9761904,.8888889,.8529412,41.18396,,41.7218,,0,7,0,11
105001011061,44.48,47.14,0,1.492537,48.28,47.59,0,0,77.83028,56.63058,.9883721,.9325843,1,57.33993,68.34874,56.18396,64.82014,0,8,5,14
105001011070,44.48,47.14,0,0,46.16,42.33,0,0,37.6129,50.85007,.9431159,.8571429,.9032258,51.45984,56.63733,51.99142,40.91838,0,3,1,4
105001011088,44.48,45.01,1.388889,0,45.105,40.93,0,0,50.71114,50.51004,.9130435,.8990825,.95,51.26425,53.76843,50.78222,52.44948,0,0,0,6
105001011363,44.48,45.01,0,0,46.27,42.33,0,0,51.93589,50.85007,.9836066,.8176796,.9504132,,57.58552,,57.26945,0,2,0,4
105001011461,,,,,46.27,42.42,0,0,,,,.9135802,.9183673,53.85471,,53.01474,,0,5,2,10
105001011606,44.48,49.19,1.25,0,46.27,42.42,1.333333,0,42.87234,52.55022,.911324,.8943089,.9066666,50.88342,62.31734,54.19811,57.18512,1,7,5,4
105001011631,44.48,49.19,0,0,46.27,43.715,.6024096,0,42.87234,54.50539,.9583333,.8125,.9518073,,41.47301,,45.73651,1,30,1,20
105001011690,44.48,42.76,0,0,46.16,42.33,.8474576,0,50.07258,50.85007,.8933333,.6695652,.6694915,,33.80439,,34.96122,0,7,0,0
105001011711,42.65,47.14,0,0,46.27,42.42,0,0,60.89011,51.94645,1,.91,.9558824,68,59.73222,55.5658,40.75553,0,4,2,16
105001011886,44.48,49.19,0,0,48.28,45.01,2.352941,0,63.96815,54.67541,.9282376,.9580838,.9411765,,51.78106,,48.00392,0,3,0,2
105001012092,44.48,45.01,0,0,46.27,45.16,0,0,51.93589,55.95052,.7847788,.9112903,.8571429,28.19292,53.06027,41.93597,-48.00956,1,5,0,2
105001012106,44.48,45.01,0,0,46.16,42.33,0,0,50.86917,50.85007,.9888889,.9230769,.7405063,64.47213,66.8978,41.48867,63.51825,1,12,1,16
105001012165,44.48,45.01,0,0,44.05,42.42,1.960784,0,50.07902,52.55022,.9410409,.9038631,.8529412,,43.70256,,29.53332,0,1,0,3
105001012696,47.67,49.19,1.081081,0,46.16,45.16,0,0,33.25,49.75956,.9806452,.6965174,.8766234,,57.05376,,54.8172,0,6,0,10
105001012700,44.48,43.885,0,0,45.105,39.53,0,0,50.57104,31.33151,.7108434,.81875,.3863636,,50.53764,,50.36559,0,2,0,4
105001013013,,,,,44.05,39.53,0,0,,,.8976378,.7261904,.66,40.0196,,50.72992,,0,1,0,3
105001013072,44.48,47.14,0,0,44.05,40.93,0,0,10.08602,50.51004,.8725383,.827957,.9310345,,20.7679,,26.81592,0,6,0,7
105001013145,46.075,49.19,0,0,50.31,47.59,0,0,83.17436,68.51821,.908397,.9090909,.9431818,43.96825,62.59488,35.52787,50,4,10,8,12
105001013340,47.67,49.19,1.285047,.2336449,50.31,47.81,2.130177,.1183432,83.17436,79.39516,.8997151,.7840467,.9857988,,49.81158,,47.3621,2,12,4,17
105001013439,44.48,47.14,0,0,46.27,45.085,1.923077,0,60.89011,55.6955,.9726027,.9230769,.9230769,53.65401,52.58694,42.5039,3.836016,0,3,0,10
105001013447,46.075,45.01,0,0,43.93,42.33,0,0,42.5327,32.80204,.9880952,1,.8846154,19.08969,,19.22401,,0,0,0,2
105001013633,40.82,42.76,0,0,48.28,42.33,0,0,50.22043,50.05107,1,.8571429,.8823529,,39.92483,,37.40604,0,3,0,1
105001014052,44.48,45.01,0,0,46.16,42.33,0,1.204819,50.86917,50.85007,.9312222,.8157895,.8192771,,36.19682,,40.20419,0,1,0,1
105001014397,44.48,47.14,0,0,46.27,45.01,.6493506,0,60.89011,54.67541,.9166667,.9622642,.9415584,,44.14643,,39.75625,0,6,1,9
105001014851,44.48,49.19,.6451613,0,48.37,47.59,.6535948,0,77.9363,56.63058,.9882353,.8552632,.9934641,47.53653,49.22392,47.98859,47.41306,1,17,3,13
105001015091,44.48,47.14,0,0,47.275,39.53,0,0,76.62026,31.33151,.9512195,.8481013,.8461539,,51.44136,,47.2169,0,2,0,8
105001015148,40.82,42.76,0,0,46.16,42.42,0,0,50.07258,50.10484,.9361702,.7222222,.7826087,55.46422,53.97541,30.35847,60.60108,0,9,0,0
105001015172,44.48,45.01,0,0,46.16,39.53,0,0,50.86917,31.33151,.9583333,.952381,.7636364,25.12232,48.32335,17.51691,-38.86223,0,2,2,4
105001015211,44.48,47.14,0,0,44.05,42.33,0,0,10.08602,50.85007,.8452381,.7254902,.5208334,26.757,46.22491,46.91851,56.93475,0,2,0,2
105001015229,44.48,46.075,0,0,44.05,40.93,0,0,10.55562,50.51004,.9423077,.7931035,.825,34.7934,,51.11745,,0,0,0,0
105001015831,44.48,45.01,0,0,44.05,42.42,0,0,50.07902,52.55022,.9444444,.8529412,.7741935,6.692958,,12.68348,,0,3,0,0
105001016420,47.67,47.14,0,0,46.16,45.16,0,0,37.6129,49.75956,.9910714,.8288288,.8969072,,65.08495,,79.68328,0,12,4,8
105001017132,,,,,46.215,42.33,0,0,,,.984252,.75,.8285714,62.25754,,51.32513,,,4,,13
105001017876,44.48,42.76,0,0,41.64,38.015,0,0,50,31.33151,.9607843,.9117647,.4166667,50.41904,50,50.2281,50.00537,0,0,0,0
105001017965,44.48,48.165,2.777778,0,46.16,45.01,0,0,31.52831,54.67541,.9722222,.9157895,.9722222,,48.52892,,46.66554,0,9,1,9
105001018759,40.82,45.01,0,0,48.28,45.16,2.631579,0,53.04211,50.21236,.9387755,.862069,.9473684,35.71875,34.46698,47.11728,50,0,3,0,6
105001019011,44.48,48.165,0,0,46.16,45.16,0,0,31.52831,55.95052,.8421053,.7833334,.9047619,,,,,0,4,0,6
105001019062,44.48,47.14,0,0,44.05,42.33,0,0,10.08602,50.85007,1,.7592593,.7266187,,44.96795,,39.9359,0,14,1,10
105001019089,44.48,42.76,0,0,46.27,39.53,0,0,50.14516,31.33151,.9218241,.9384615,.9078947,26.04888,,18.45742,,0,2,0,2
105001019143,,,,,,,,,,,,.6341463,,,,,,,,,
105001019194,44.48,45.01,.7092198,.7092198,46.16,42.33,0,0,50.86917,50.85007,.9115044,.8648649,.9837399,,29.73245,,35.06601,0,6,0,6
105001019305,,,,,46.16,42.33,0,0,,,.9442756,.9,.8461539,27.41694,53.39426,50.93508,58.29708,0,2,0,3
105001019330,47.67,45.01,0,0,46.27,45.01,0,0,51.93589,46.153,.996,.8761062,.8,,42.41448,,46.83937,0,10,1,5
105001019429,44.48,45.01,.5405406,0,44.05,42.33,0,.4784689,50.07902,50.85007,.9807692,.9375,.8755981,,48.96278,,72.34904,0,7,1,9
105001019453,40.82,45.01,0,0,43.93,39.53,0,0,42.5327,50.00269,.9096591,.5949367,.8509316,,53.88041,,38.459,0,3,0,3
105001019534,44.48,45.01,0,0,46.16,39.53,0,0,50.86917,31.33151,.9207921,.8852459,.6,,51.5929,,51.14208,0,0,0,2
105001019674,44.48,49.19,0,0,46.27,45.01,.8849558,0,42.87234,54.67541,.9038461,.8135593,.9557522,45.52688,64.12241,45.05996,60.98409,5,13,2,10
105001019798,42.65,45.01,0,0,41.64,36.5,0,0,37.5545,33.12361,.7934783,.9506173,.8,50.06989,,50.51004,,0,1,0,7
105001019925,44.48,47.14,.4524887,.4524887,44.05,45.01,0,0,10.08602,54.67541,.9425837,.7737226,.8793104,,45.46399,,44.95998,0,1,3,5
105001020028,44.48,46.075,0,0,46.16,42.42,0,0,38.73018,52.55022,.9529412,.9387755,.8636364,58.84077,,35.66867,,0,5,0,11
105001020052,44.48,47.14,0,0,48.37,45.01,0,0,82.67032,54.67541,.9615384,1,.9090909,65.12514,,60.58581,,0,4,0,17
105001020273,50.54,53.22,0,0,53.325,50.42,6.666667,0,55.21586,50,.8378378,.8260869,1,20.13203,51.79228,52.58065,51.29443,0,5,0,0
105001021199,44.48,45.01,0,0,46.27,42.42,0,0,51.93589,52.55022,.9886364,.9871795,.8,,50.60109,,22.18644,0,2,1,2
105001021547,47.67,47.14,0,0,46.16,45.16,0,0,37.6129,49.75956,.9655172,.921875,.9555556,61.40495,73.05108,57.05603,78.58334,2,17,2,14
105001021636,44.48,45.01,0,.5,44.05,42.42,0,0,50.07902,52.55022,.9788737,.7977099,.918239,,39.7543,,28.22788,0,4,2,4
105001021873,44.48,49.19,0,0,46.27,39.53,0,0,42.87234,31.33151,.7647579,.7313433,.7865168,51.44513,50.46095,51.19485,31.74448,0,4,0,2
105001022101,44.48,47.14,0,0,45.105,42.42,0,0,32.10753,52.55022,.9516129,.8780488,.84375,,53.19762,,63.32341,0,0,0,4
105001023965,44.48,45.01,0,0,45.105,39.53,.6944445,0,50.71114,31.33151,.9227639,.8148148,.7916667,,,,,0,5,1,2
105001024073,44.48,47.14,0,0,46.16,42.42,1.290323,0,37.6129,52.55022,,,.9483871,,,,,,,,
105001025763,,,,,43.93,39.53,0,0,,,.9318182,.9428571,.8431373,,,,,0,2,0,1
105001025771,,,,,44.05,39.53,0,0,,,.8457143,.9588235,.6716418,,,,,0,2,0,2
105001025780,47.67,47.14,.6849315,0,46.16,42.42,0,0,37.6129,40.14207,.9528796,.7897196,.8961039,,,,,2,1,1,5
105001025798,,,,,46.16,45.01,.9090909,0,,,.9527299,.8111888,.8454546,,,,,0,5,0,2
105001025984,,,,,,,,,,,,,,,,,,,,,
105001025992,,,,,44.05,42.42,0,0,,,.9384615,.872093,.8039216,,,,,,,,
105001026000,,,,,,,,,,,,,,,,,,,,,
105001026131,,,,,,,,,,,.9076104,.9512195,,,,,,,,,
205001001389,,,,,,,,,,,.9319986,,,38.26616,,45.21198,,,19,,6
205001001672,44.48,51.21,0,0,46.27,42.33,0,0,48.05836,50.85007,.8858268,.6946108,.828125,61.13553,39.32541,48.87348,53.70364,0,10,0,12
205001001966,,,,,,,,,,,1,,,59.4086,,37.88298,,,0,,0
205001002199,44.48,47.14,0,0,46.27,39.53,0,0,60.89011,31.33151,1,.9305556,.8378378,39.44008,61.59951,24.00107,61.13553,0,0,0,10
205001002768,,,,,,,,,,,1,,,50.0419,,19.1639,,,0,,0
205001006119,,,,,,,,,,,.9777778,,,29.4298,,29.67742,,,0,,4
205001006224,,,,,,,,,,,1,,,57.22581,,56.22332,,,9,,18
205001006232,44.48,45.01,0,0,46.16,42.33,.8928572,0,50.86917,50.85007,.9080459,.6199095,.8392857,53.88346,47.31158,48.42564,39.2463,0,4,1,3
205001006526,40.82,47.14,0,0,46.215,39.53,0,0,59.07509,50.00269,1,.952381,1,54.68506,,52.89421,,0,3,5,10
